Held,Kategorie,Talent,Eigenschaft 1,Eigenschaft 2,Eigenschaft 3,Modifikator,Erfolg,TaP/ZfP,TaW/ZfW,Eigenschaftswert 1,Eigenschaftswert 2,Eigenschaftswert 3
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,5,13,15,13
Hanzo Shimada,Natur,Orientierung,KL,IN,IN,7,0,-2,7,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,8,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,12,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,8,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,12,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,3,11,11,11
Elanor Walham,Wissen,Pflanzenkunde,KL,IN,FF,0,1,3,6,12,14,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,0,-3,8,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,3,11,11,11
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,0,-1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,0,-2,5,15,11,14
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,4,0,-8,4,10,12,13
Hanzo Shimada,Körper,Schwimmen,GE,Ko,KK,0,1,6,6,13,12,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,12,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-9,3,11,11,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,8,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,5,13,15,13
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,2,5,13,15,12
Hanzo Shimada,Wissen,Götter/Kulte,KL,KL,IN,0,1,2,2,14,14,15
Bargaan Treuwall,Wissen,Götter/Kulte,KL,KL,IN,0,1,2,3,11,11,11
Elanor Walham,Wissen,Götter/Kulte,KL,KL,IN,0,1,3,3,12,12,14
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,14,0,-14,10,15,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,8,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,3,11,11,11
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,6,8,12,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,8,12,14,14
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-4,1,7,8,12,11,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-6,3,11,11,11
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-1,3,11,11,12
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,0,-7,5,15,11,14
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,5,13,15,12
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,0,5,15,11,14
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,9,1,0,5,13,15,13
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,0,-5,6,12,14,16
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,0,-5,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-14,3,11,11,12
Akira Masamune,Gesellschaft,Menschenkenntnis,KL,IN,CH,0,1,2,8,14,15,13
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,0,-6,6,13,12,13
Hanzo Shimada,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,3,5,13,13,11
Hanzo Shimada,Natur,Fesseln/Entfesseln,FF,GE,KK,9,0,-3,5,13,13,11
Hanzo Shimada,Natur,Fesseln/Entfesseln,FF,GE,KK,6,0,-9,5,13,13,11
Bargaan Treuwall,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,5,6,12,14,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,8,1,3,12,15,13,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,15
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,5,10,13,12,13
Elanor Walham,Körper,Klettern,MU,GE,KK,-3,1,0,5,12,16,12
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,8,10,13,12,13
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,1,0,-3,4,15,14,15
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,10,10,13,12,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,10,10,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,5,10,12,11,13
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,6,13,11,11
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,6,12,10,12
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,5,15,15,15
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,1,8,13,12,13
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,6,1,0,6,13,11,11
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,15
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,5,0,-7,4,15,14,15
Bargaan Treuwall,Körper,Klettern,MU,GE,KK,5,1,0,4,15,14,15
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,8,1,4,12,15,13,11
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,3,1,7,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,10,10,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,12,14,15,13
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,7,7,14,15,15
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,5,13,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,10,14,15,13
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,4,0,-7,5,13,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,6,10,12,11,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,0,1,6,10,12,11,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,10,10,12,11,13
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,6,0,-5,6,13,11,11
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,6,1,0,5,15,15,15
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,3,1,5,8,13,12,13
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-5,6,12,10,12
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,6,6,13,11,11
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,10,14,15,13
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,1,5,13,15,13
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,1,6,12,14,16
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-19,3,11,11,12
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-5,3,11,11,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,0,10,14,15,13
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,1,1,4,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,3,0,-2,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,3,1,5,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,5,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,0,-1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,1,1,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,1,0,-2,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,4,0,-5,5,15,11,14
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,0,-2,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,1,1,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,1,0,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,1,1,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,1,1,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,0,-3,5,14,15,15
Bargaan Treuwall,Körper,Schwimmen,GE,Ko,KK,4,0,-4,5,14,15,15
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-2,5,15,15,15
Hanzo Shimada,Körper,Schwimmen,GE,Ko,KK,0,0,-2,6,13,12,12
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,5,8,13,13,13
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,0,-4,8,13,15,12
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,7,7,12,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,0,-3,7,12,13,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,2,8,13,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,5,7,12,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,4,7,12,13,13
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,3,1,4,8,13,15,12
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,3,1,4,7,12,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,3,1,4,7,12,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,3,1,4,7,12,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,3,0,-2,7,12,13,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,8,8,13,13,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,3,0,-4,7,12,13,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,10,10,12,11,13
Akira Masamune,Natur,Fesseln/Entfesseln,FF,GE,KK,0,1,10,10,13,12,13
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,4,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,7,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,3,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,6,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,7,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,0,-2,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,7,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,4,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,3,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,6,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,-3,1,7,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,7,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,10,14,15,15
Hanzo Shimada,Körper,Singen,IN,CH,CH,0,0,-16,0,15,10,10
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,10,10,12,11,13
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,-7,1,8,8,12,14,16
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,10,10,12,11,13
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-7,6,13,12,12
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,7,8,13,13,13
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,1,0,6,12,10,12
Bargaan Treuwall,Körper,Selbstbeherrschung,MU,KO,KK,0,1,3,5,15,15,15
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,0,0,-3,5,15,11,14
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,2,1,1,8,12,14,16
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,1,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,3,8,13,15,12
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,13,15,12
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,-1,1,8,8,12,14,16
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,-1,1,3,8,12,14,16
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,-3,1,4,5,13,15,13
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,-3,1,5,5,13,15,13
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,-3,1,2,5,13,15,13
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,-3,1,2,5,15,11,14
Bargaan Treuwall,Körper,Körperbeherrschung,MU,IN,GE,-3,0,-3,5,15,11,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,-5,1,12,12,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,4,8,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,2,10,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,14,15,13
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,8,1,1,12,15,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,10,14,15,15
Bargaan Treuwall,Körper,Sinnesschärfe,KL,IN,IN,0,0,-5,3,11,11,11
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,8,12,14,14
Hanzo Shimada,Natur,Wildnisleben,IN,GE,KO,7,1,7,14,15,13,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,4,1,8,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,4,1,6,12,14,15,15
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,1,6,7,13,14,15
Hanzo Shimada,Natur,Fischen/Angeln,IN,FF,KK,0,1,5,5,15,13,12
Hanzo Shimada,Wissen,Tierkunde,MU,KL,IN,0,1,0,7,13,14,15
Hanzo Shimada,Natur,Fischen/Angeln,IN,FF,KK,0,1,4,5,15,13,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,15
Hanzo Shimada,Handwerk,Fleischer,KL,FF,KK,0,1,8,8,14,13,12
Hanzo Shimada,Wissen,Pflanzenkunde,KL,IN,FF,0,1,5,5,14,15,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,4,7,14,15,13
Elanor Walham,Handwerk,Heilkunde Wunden,KL,CH,FF,-7,1,7,10,12,11,13
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,0,1,1,8,13,13,14
Akira Masamune,Körper,Selbstbeherrschung,MU,KO,KK,2,0,-1,8,13,13,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,10,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,6,8,12,14,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,0,-2,10,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,12,14,15,15
Hanzo Shimada,Körper,Athletik,GE,KO,KK,0,1,5,5,13,12,12
Akira Masamune,Körper,Athletik,GE,KO,KK,0,1,0,4,12,13,14
Elanor Walham,Körper,Athletik,GE,KO,KK,0,1,4,8,16,10,12
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,6,6,13,15,13
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,12,14,16
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,8,13,15,12
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,1,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Hanzo Shimada,Körper,Selbstbeherrschung,MU,KO,KK,0,1,4,6,13,12,12
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,6,13,15,13
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,3,8,13,15,12
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,2,8,12,14,16
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,0,0,-4,6,13,15,13
Elanor Walham,Körper,Körperbeherrschung,MU,IN,GE,0,1,8,8,12,14,16
Akira Masamune,Körper,Körperbeherrschung,MU,IN,GE,0,1,5,8,13,15,12
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,4,8,14,15,15
Akira Masamune,Wissen,Götter/Kulte,KL,KL,IN,0,0,-4,3,14,14,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,12,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,10,14,15,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,5,12,14,15,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,0,1,7,8,12,14,14
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,4,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,8,8,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,9,10,14,15,13
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,3,10,14,15,15
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,10,14,15,13
Elanor Walham,Körper,Sinnesschärfe,KL,IN,IN,-5,1,8,8,12,14,14
Akira Masamune,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,10,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Elanor Walham,Körper,Schwimmen,GE,Ko,KK,0,0,-6,4,16,10,12
Hanzo Shimada,Körper,Schwimmen,GE,Ko,KK,0,1,0,6,13,12,12
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,0,0,-6,6,12,10,12
Elanor Walham,Körper,Schwimmen,GE,Ko,KK,0,1,1,4,16,10,12
Akira Masamune,Gaben,Gefahreninstinkt,KL,IN,IN,0,1,7,7,14,15,15
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,7,14,13,15,13
Elanor Walham,Körper,Selbstbeherrschung,MU,KO,KK,2,0,-12,6,12,10,12
Akira Masamune,Körper,Athletik,GE,KO,KK,0,0,-3,4,12,13,14
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,12,12,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,8,12,14,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,11,12,14,15,15
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,6,12,14,15,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,3,7,12,13,14
Hanzo Shimada,Körper,Schleichen,MU,IN,GE,3,1,5,12,13,15,13
Hanzo Shimada,Körper,Sinnesschärfe,KL,IN,IN,0,1,10,12,14,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,14,14,13,15,13
Akira Masamune,Körper,Schwimmen,GE,Ko,KK,0,1,7,7,12,13,14
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,10,14,13,15,13
Hanzo Shimada,Körper,Körperbeherrschung,MU,IN,GE,3,1,2,6,13,15,13
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,0,1,5,14,13,15,13
Hanzo Shimada,Handwerk,Kochen,KL,IN,FF,0,1,2,7,14,10,13
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,5,0,-13,5,14,10,13
Hanzo Shimada,Handwerk,Heilkunde Wunden,KL,CH,FF,9,0,-23,5,14,10,13
Akira Masamune,Gesellschaft,Gassenwissen,KL,IN,CH,0,1,5,6,14,15,13
Hanzo Shimada,Handwerk,Ackerbau,IN,FF,KO,0,0,-3,1,15,13,12
Hanzo Shimada,Wissen,Schätzen,KL,IN,IN,0,1,5,8,14,15,15
Hanzo Shimada,Natur,Orientierung,KL,IN,IN,0,1,7,7,14,15,15
Hanzo Shimada,Körper,Zechen,IN,KO,KK,0,1,2,2,15,12,12
Hanzo Shimada,Körper,Zechen,IN,KO,KK,0,1,0,2,15,12,12
Bargaan Treuwall,Körper,Zechen,IN,KO,KK,0,1,4,5,13,15,15
Bargaan Treuwall,Wissen,Magiekunde,KL,KL,IN,0,1,9,12,13,13,13
Akira Masamune,Wissen,Schätzen,KL,IN,IN,-4,1,8,8,14,15,15
Akira Masamune,Wissen,Schätzen,KL,IN,IN,0,1,5,8,14,15,15
Akira Masamune,Gesellschaft,Überreden,MU,IN,CH,5,1,7,16,13,15,13
